student,task,time,pathway_level,score
0692477,54596,ft,L2,1
0692477,64967,ft,L1,1
0692477,13080,ft,L3,1
0692477,97634,ft,L2,1
0692477,27971,ft,L3,1
0692477,06238,ft,L2,1
0692477,00592,ft,L1,1
0692477,10231,ft,L2,1
0692477,63088,ft,L3,1
0692477,14415,ft,L1,1
6961042,56400,ft,L1,0
6961042,96748,ft,L2,1
6961042,56741,ft,L3,0
6961042,54596,ft,L2,1
6961042,64967,ft,L1,1
6961042,13080,ft,L3,0
6961042,97634,ft,L2,1
6961042,27971,ft,L3,0
6961042,06238,ft,L2,1
6961042,00592,ft,L1,1
6961042,10231,ft,L2,1
6961042,63088,ft,L3,0
6961042,14415,ft,L1,1
4241777,56400,ft,L1,1
4241777,96748,ft,L2,1
4241777,56741,ft,L3,0
4241777,54596,ft,L2,1
4241777,64967,ft,L1,1
4241777,13080,ft,L3,0
4241777,97634,ft,L2,1
4241777,27971,ft,L3,0
4241777,06238,ft,L2,1
4241777,00592,ft,L1,1
4241777,10231,ft,L2,1
4241777,63088,ft,L3,0
4241777,14415,ft,L1,1
3402082,88063,ft,L3,0
3402082,81175,ft,L3,0
3068583,56400,ft,L1,1
3068583,96748,ft,L2,1
3068583,56741,ft,L3,0
3068583,54596,ft,L2,1
3068583,64967,ft,L1,1
3068583,13080,ft,L3,0
3068583,97634,ft,L2,1
3068583,27971,ft,L3,1
3068583,06238,ft,L2,1
3068583,00592,ft,L1,1
3068583,10231,ft,L2,1
3068583,63088,ft,L3,0
3068583,14415,ft,L1,1
6607413,56400,ft,L1,1
6607413,96748,ft,L2,1
6607413,56741,ft,L3,1
6607413,54596,ft,L2,1
6607413,64967,ft,L1,1
6607413,13080,ft,L3,1
6607413,97634,ft,L2,1
6607413,27971,ft,L3,0
6607413,06238,ft,L2,1
6607413,00592,ft,L1,1
6607413,10231,ft,L2,1
6607413,63088,ft,L3,0
6607413,14415,ft,L1,1
7759320,56400,ft,L1,1
7759320,96748,ft,L2,1
7759320,56741,ft,L3,1
7759320,54596,ft,L2,1
7759320,64967,ft,L1,1
7759320,13080,ft,L3,1
7759320,97634,ft,L2,1
7759320,27971,ft,L3,1
7759320,06238,ft,L2,1
7759320,00592,ft,L1,1
7759320,10231,ft,L2,1
7759320,63088,ft,L3,1
7759320,14415,ft,L1,1
3128585,56400,ft,L1,1
3128585,96748,ft,L2,1
3128585,56741,ft,L3,1
3128585,54596,ft,L2,1
3128585,64967,ft,L1,1
3128585,13080,ft,L3,1
3128585,97634,ft,L2,1
3128585,27971,ft,L3,1
3128585,06238,ft,L2,1
3128585,00592,ft,L1,1
3128585,10231,ft,L2,1
3128585,63088,ft,L3,1
3128585,14415,ft,L1,1
1876040,56400,ft,L1,1
1876040,96748,ft,L2,1
1876040,56741,ft,L3,0
1876040,54596,ft,L2,1
1876040,64967,ft,L1,1
1876040,13080,ft,L3,1
1876040,97634,ft,L2,1
1876040,27971,ft,L3,1
1876040,06238,ft,L2,1
1876040,00592,ft,L1,1
1876040,10231,ft,L2,1
1876040,63088,ft,L3,1
1876040,14415,ft,L1,1
4132503,56400,ft,L1,0
4132503,96748,ft,L2,1
4132503,56741,ft,L3,1
4132503,54596,ft,L2,1
4132503,64967,ft,L1,1
4132503,13080,ft,L3,1
4132503,97634,ft,L2,1
4132503,27971,ft,L3,1
4132503,06238,ft,L2,1
4132503,00592,ft,L1,1
4132503,10231,ft,L2,1
4132503,63088,ft,L3,1
4132503,14415,ft,L1,1
5068490,88063,ft,L3,1
5068490,81175,ft,L3,1
5217269,88063,ft,L3,0
5217269,81175,ft,L3,0
6806871,56400,ft,L1,0
6806871,96748,ft,L2,1
6806871,56741,ft,L3,0
6806871,54596,ft,L2,1
6806871,64967,ft,L1,1
6806871,13080,ft,L3,0
6806871,97634,ft,L2,1
6806871,27971,ft,L3,0
6806871,06238,ft,L2,1
6806871,00592,ft,L1,1
6806871,10231,ft,L2,1
6806871,63088,ft,L3,0
6806871,14415,ft,L1,1
7286936,88063,ft,L3,1
7286936,81175,ft,L3,1
9806470,88063,ft,L3,0
9806470,81175,ft,L3,0
8574385,88063,ft,L3,0
8574385,81175,ft,L3,0
8345129,88063,ft,L3,0
8345129,81175,ft,L3,0
7161170,56400,ft,L1,1
7161170,96748,ft,L2,1
7161170,56741,ft,L3,0
7161170,54596,ft,L2,1
7161170,64967,ft,L1,1
7161170,13080,ft,L3,0
7161170,97634,ft,L2,1
7161170,27971,ft,L3,0
7161170,06238,ft,L2,1
7161170,00592,ft,L1,1
7161170,10231,ft,L2,1
7161170,63088,ft,L3,0
7161170,14415,ft,L1,1
0838306,88063,ft,L3,0
0838306,81175,ft,L3,1
8062771,88063,ft,L3,0
8062771,81175,ft,L3,0
9555345,56400,ft,L1,1
9555345,96748,ft,L2,0
9555345,56741,ft,L3,0
9555345,54596,ft,L2,1
9555345,64967,ft,L1,1
9555345,13080,ft,L3,1
9555345,97634,ft,L2,1
9555345,27971,ft,L3,1
9555345,06238,ft,L2,1
9555345,00592,ft,L1,1
9555345,10231,ft,L2,0
9555345,63088,ft,L3,1
9555345,14415,ft,L1,1
3024509,56400,ft,L1,1
3024509,96748,ft,L2,1
3024509,56741,ft,L3,0
3024509,54596,ft,L2,1
3024509,64967,ft,L1,1
3024509,13080,ft,L3,0
3024509,97634,ft,L2,1
3024509,27971,ft,L3,0
3024509,06238,ft,L2,1
3024509,00592,ft,L1,1
3024509,10231,ft,L2,1
3024509,63088,ft,L3,0
3024509,14415,ft,L1,1
0706614,88063,ft,L3,0
0706614,81175,ft,L3,0
1957239,88063,ft,L3,0
1957239,81175,ft,L3,0
4925985,56400,ft,L1,0
4925985,96748,ft,L2,1
4925985,56741,ft,L3,0
4925985,54596,ft,L2,1
4925985,64967,ft,L1,1
4925985,13080,ft,L3,0
4925985,97634,ft,L2,1
4925985,27971,ft,L3,0
4925985,06238,ft,L2,1
4925985,00592,ft,L1,1
4925985,10231,ft,L2,1
4925985,63088,ft,L3,0
4925985,14415,ft,L1,1
8910662,88063,ft,L3,0
8910662,81175,ft,L3,0
1693036,88063,ft,L3,0
1693036,81175,ft,L3,0
4594039,88063,ft,L3,0
4594039,81175,ft,L3,0
5224603,56400,ft,L1,1
5224603,96748,ft,L2,1
5224603,56741,ft,L3,0
5224603,54596,ft,L2,1
5224603,64967,ft,L1,1
5224603,13080,ft,L3,0
5224603,97634,ft,L2,1
5224603,27971,ft,L3,0
5224603,06238,ft,L2,1
5224603,00592,ft,L1,1
5224603,10231,ft,L2,1
5224603,63088,ft,L3,0
5224603,14415,ft,L1,1
5246445,56400,ft,L1,0
5246445,96748,ft,L2,1
5246445,56741,ft,L3,0
5246445,54596,ft,L2,1
5246445,64967,ft,L1,1
5246445,13080,ft,L3,0
5246445,97634,ft,L2,1
5246445,27971,ft,L3,0
5246445,06238,ft,L2,1
5246445,00592,ft,L1,1
5246445,10231,ft,L2,1
5246445,63088,ft,L3,0
5246445,14415,ft,L1,1
8963903,88063,ft,L3,0
8963903,81175,ft,L3,0
1249438,56400,ft,L1,0
1249438,96748,ft,L2,0
1249438,56741,ft,L3,0
1249438,54596,ft,L2,1
1249438,64967,ft,L1,1
1249438,13080,ft,L3,0
1249438,97634,ft,L2,1
1249438,27971,ft,L3,0
1249438,06238,ft,L2,0
1249438,00592,ft,L1,0
1249438,10231,ft,L2,1
1249438,63088,ft,L3,0
1249438,14415,ft,L1,0
5100698,88063,ft,L3,0
5100698,81175,ft,L3,0
2424883,88063,ft,L3,0
2424883,81175,ft,L3,0
9414600,88063,ft,L3,0
9414600,81175,ft,L3,0
7092502,56400,ft,L1,0
7092502,96748,ft,L2,0
7092502,56741,ft,L3,1
7092502,54596,ft,L2,1
7092502,64967,ft,L1,1
7092502,13080,ft,L3,1
7092502,97634,ft,L2,1
7092502,27971,ft,L3,1
7092502,06238,ft,L2,1
7092502,00592,ft,L1,1
7092502,10231,ft,L2,1
7092502,63088,ft,L3,1
7092502,14415,ft,L1,1
3388754,88063,ft,L3,0
3388754,81175,ft,L3,0
8085157,88063,ft,L3,0
8085157,81175,ft,L3,0
2552126,88063,ft,L3,0
2552126,81175,ft,L3,0
5821110,88063,ft,L3,1
5821110,81175,ft,L3,1
0539617,88063,ft,L3,0
0539617,81175,ft,L3,0
0197005,88063,ft,L3,0
0197005,81175,ft,L3,0
7895904,88063,ft,L3,0
7895904,81175,ft,L3,0
5592911,88063,ft,L3,0
5592911,81175,ft,L3,0
5254665,56400,ft,L1,1
5254665,96748,ft,L2,1
5254665,56741,ft,L3,1
5254665,54596,ft,L2,1
5254665,64967,ft,L1,1
5254665,13080,ft,L3,1
5254665,97634,ft,L2,1
5254665,27971,ft,L3,1
5254665,06238,ft,L2,0
5254665,00592,ft,L1,1
5254665,10231,ft,L2,1
5254665,63088,ft,L3,1
5254665,14415,ft,L1,1
8870653,88063,ft,L3,0
8870653,81175,ft,L3,0
4184535,56400,ft,L1,1
4184535,96748,ft,L2,1
4184535,56741,ft,L3,0
4184535,54596,ft,L2,1
4184535,64967,ft,L1,1
4184535,13080,ft,L3,0
4184535,97634,ft,L2,1
4184535,27971,ft,L3,0
4184535,06238,ft,L2,1
4184535,00592,ft,L1,1
4184535,10231,ft,L2,1
4184535,63088,ft,L3,0
4184535,14415,ft,L1,1
8320912,56400,ft,L1,0
8320912,96748,ft,L2,1
8320912,56741,ft,L3,0
8320912,54596,ft,L2,1
8320912,64967,ft,L1,1
8320912,13080,ft,L3,0
8320912,97634,ft,L2,1
8320912,27971,ft,L3,0
8320912,06238,ft,L2,1
8320912,00592,ft,L1,1
8320912,10231,ft,L2,1
8320912,63088,ft,L3,0
8320912,14415,ft,L1,1
5138101,88063,ft,L3,0
5138101,81175,ft,L3,0
2014157,88063,ft,L3,0
2014157,81175,ft,L3,0
0588104,88063,ft,L3,0
0588104,81175,ft,L3,1
9130710,56400,ft,L1,1
9130710,96748,ft,L2,0
9130710,56741,ft,L3,0
9130710,54596,ft,L2,1
9130710,64967,ft,L1,1
9130710,13080,ft,L3,0
9130710,97634,ft,L2,1
9130710,27971,ft,L3,0
9130710,06238,ft,L2,1
9130710,00592,ft,L1,1
9130710,10231,ft,L2,1
9130710,63088,ft,L3,0
9130710,14415,ft,L1,1
8902464,56400,ft,L1,1
8902464,96748,ft,L2,0
8902464,56741,ft,L3,0
8902464,54596,ft,L2,1
8902464,64967,ft,L1,1
8902464,13080,ft,L3,1
8902464,97634,ft,L2,1
8902464,27971,ft,L3,1
8902464,06238,ft,L2,1
8902464,00592,ft,L1,1
8902464,10231,ft,L2,1
8902464,63088,ft,L3,1
8902464,14415,ft,L1,1
5617929,88063,ft,L3,0
5617929,81175,ft,L3,0
0154895,88063,ft,L3,0
0154895,81175,ft,L3,0
7045996,88063,ft,L3,0
7045996,81175,ft,L3,0
3082916,88063,ft,L3,0
3082916,81175,ft,L3,0
1172701,88063,ft,L3,0
1172701,81175,ft,L3,0
8536124,88063,ft,L3,0
8536124,81175,ft,L3,0
0918227,56400,ft,L1,1
0918227,96748,ft,L2,0
0918227,56741,ft,L3,0
0918227,54596,ft,L2,1
0918227,64967,ft,L1,1
0918227,13080,ft,L3,0
0918227,97634,ft,L2,1
0918227,27971,ft,L3,1
0918227,06238,ft,L2,1
0918227,00592,ft,L1,1
0918227,10231,ft,L2,1
0918227,63088,ft,L3,1
0918227,14415,ft,L1,1
7591052,88063,ft,L3,0
7591052,81175,ft,L3,1
3562339,56400,ft,L1,1
3562339,96748,ft,L2,1
3562339,56741,ft,L3,0
3562339,54596,ft,L2,1
3562339,64967,ft,L1,1
3562339,13080,ft,L3,0
3562339,97634,ft,L2,1
3562339,27971,ft,L3,0
3562339,06238,ft,L2,1
3562339,00592,ft,L1,1
3562339,10231,ft,L2,1
3562339,63088,ft,L3,0
3562339,14415,ft,L1,1
3999210,56400,ft,L1,0
3999210,96748,ft,L2,0
3999210,56741,ft,L3,0
3999210,54596,ft,L2,1
3999210,64967,ft,L1,1
3999210,13080,ft,L3,1
3999210,97634,ft,L2,1
3999210,27971,ft,L3,0
3999210,06238,ft,L2,1
3999210,00592,ft,L1,1
3999210,10231,ft,L2,1
3999210,63088,ft,L3,0
3999210,14415,ft,L1,0
6061593,88063,ft,L3,0
6061593,81175,ft,L3,1
6672895,88063,ft,L3,0
6672895,81175,ft,L3,0
2490806,88063,ft,L3,0
2490806,81175,ft,L3,1
1774293,88063,ft,L3,1
1774293,81175,ft,L3,1
5414214,88063,ft,L3,0
5414214,81175,ft,L3,1
7696592,88063,ft,L3,0
7696592,81175,ft,L3,0
4175764,88063,ft,L3,0
4175764,81175,ft,L3,1
8589247,88063,ft,L3,1
8589247,81175,ft,L3,1
9541598,56400,ft,L1,1
9541598,96748,ft,L2,1
9541598,56741,ft,L3,0
9541598,54596,ft,L2,1
9541598,64967,ft,L1,1
9541598,13080,ft,L3,1
9541598,97634,ft,L2,1
9541598,27971,ft,L3,1
9541598,06238,ft,L2,1
9541598,00592,ft,L1,1
9541598,10231,ft,L2,1
9541598,63088,ft,L3,1
9541598,14415,ft,L1,1
2178431,56400,ft,L1,0
2178431,96748,ft,L2,1
2178431,56741,ft,L3,1
2178431,54596,ft,L2,1
2178431,64967,ft,L1,1
2178431,13080,ft,L3,1
2178431,97634,ft,L2,1
2178431,27971,ft,L3,1
2178431,06238,ft,L2,1
2178431,00592,ft,L1,1
2178431,10231,ft,L2,1
2178431,63088,ft,L3,1
2178431,14415,ft,L1,1
7598855,56400,ft,L1,0
7598855,96748,ft,L2,1
7598855,56741,ft,L3,0
7598855,54596,ft,L2,1
7598855,64967,ft,L1,1
7598855,13080,ft,L3,0
7598855,97634,ft,L2,1
7598855,27971,ft,L3,0
7598855,06238,ft,L2,1
7598855,00592,ft,L1,1
7598855,10231,ft,L2,1
7598855,63088,ft,L3,0
7598855,14415,ft,L1,1
9354705,88063,ft,L3,0
9354705,81175,ft,L3,0
2635786,56400,ft,L1,1
2635786,96748,ft,L2,1
2635786,56741,ft,L3,1
2635786,54596,ft,L2,1
2635786,64967,ft,L1,1
2635786,13080,ft,L3,0
2635786,97634,ft,L2,1
2635786,27971,ft,L3,1
2635786,06238,ft,L2,1
2635786,00592,ft,L1,1
2635786,10231,ft,L2,1
2635786,63088,ft,L3,1
2635786,14415,ft,L1,1
0044850,88063,ft,L3,0
0044850,81175,ft,L3,0
9813496,88063,ft,L3,1
9813496,81175,ft,L3,1
1859069,88063,ft,L3,1
1859069,81175,ft,L3,1
9754154,56400,ft,L1,0
9754154,96748,ft,L2,1
9754154,56741,ft,L3,0
9754154,54596,ft,L2,1
9754154,64967,ft,L1,1
9754154,13080,ft,L3,0
9754154,97634,ft,L2,1
9754154,27971,ft,L3,0
9754154,06238,ft,L2,0
9754154,00592,ft,L1,1
9754154,10231,ft,L2,1
9754154,63088,ft,L3,0
9754154,14415,ft,L1,1
6981982,56400,ft,L1,1
6981982,96748,ft,L2,1
6981982,56741,ft,L3,0
6981982,54596,ft,L2,1
6981982,64967,ft,L1,1
6981982,13080,ft,L3,0
6981982,97634,ft,L2,1
6981982,27971,ft,L3,0
6981982,06238,ft,L2,1
6981982,00592,ft,L1,1
6981982,10231,ft,L2,1
6981982,63088,ft,L3,0
6981982,14415,ft,L1,1
9997429,56400,ft,L1,1
9997429,96748,ft,L2,1
9997429,56741,ft,L3,0
9997429,54596,ft,L2,1
9997429,64967,ft,L1,1
9997429,13080,ft,L3,0
9997429,97634,ft,L2,1
9997429,27971,ft,L3,0
9997429,06238,ft,L2,1
9997429,00592,ft,L1,1
9997429,10231,ft,L2,1
9997429,63088,ft,L3,0
9997429,14415,ft,L1,1
4350606,56400,ft,L1,1
4350606,96748,ft,L2,1
4350606,56741,ft,L3,1
4350606,54596,ft,L2,1
4350606,64967,ft,L1,1
4350606,13080,ft,L3,1
4350606,97634,ft,L2,1
4350606,27971,ft,L3,1
4350606,06238,ft,L2,1
4350606,00592,ft,L1,1
4350606,10231,ft,L2,1
4350606,63088,ft,L3,1
4350606,14415,ft,L1,1
5499576,56400,ft,L1,1
5499576,96748,ft,L2,1
5499576,56741,ft,L3,1
5499576,54596,ft,L2,0
5499576,64967,ft,L1,1
5499576,13080,ft,L3,1
5499576,97634,ft,L2,1
5499576,27971,ft,L3,0
5499576,06238,ft,L2,1
5499576,00592,ft,L1,1
5499576,10231,ft,L2,1
5499576,63088,ft,L3,1
5499576,14415,ft,L1,1
9020643,56400,ft,L1,1
9020643,96748,ft,L2,1
9020643,56741,ft,L3,1
9020643,54596,ft,L2,1
9020643,64967,ft,L1,1
9020643,13080,ft,L3,0
9020643,97634,ft,L2,1
9020643,27971,ft,L3,1
9020643,06238,ft,L2,0
9020643,00592,ft,L1,1
9020643,10231,ft,L2,1
9020643,63088,ft,L3,0
9020643,14415,ft,L1,1
7142717,56400,ft,L1,1
7142717,96748,ft,L2,1
7142717,56741,ft,L3,1
7142717,54596,ft,L2,1
7142717,64967,ft,L1,1
7142717,13080,ft,L3,0
7142717,97634,ft,L2,1
7142717,27971,ft,L3,0
7142717,06238,ft,L2,1
7142717,00592,ft,L1,1
7142717,10231,ft,L2,1
7142717,63088,ft,L3,0
7142717,14415,ft,L1,1
1341449,56400,ft,L1,0
1341449,96748,ft,L2,1
1341449,56741,ft,L3,1
1341449,54596,ft,L2,1
1341449,64967,ft,L1,1
1341449,13080,ft,L3,1
1341449,97634,ft,L2,1
1341449,27971,ft,L3,1
1341449,06238,ft,L2,1
1341449,00592,ft,L1,1
1341449,10231,ft,L2,1
1341449,63088,ft,L3,1
1341449,14415,ft,L1,1
8431572,56400,ft,L1,1
8431572,96748,ft,L2,0
8431572,56741,ft,L3,0
8431572,54596,ft,L2,1
8431572,64967,ft,L1,1
8431572,13080,ft,L3,0
8431572,97634,ft,L2,1
8431572,27971,ft,L3,0
8431572,06238,ft,L2,1
8431572,00592,ft,L1,1
8431572,10231,ft,L2,1
8431572,63088,ft,L3,0
8431572,14415,ft,L1,1
2358544,56400,ft,L1,0
2358544,96748,ft,L2,0
2358544,56741,ft,L3,1
2358544,54596,ft,L2,1
2358544,64967,ft,L1,1
2358544,13080,ft,L3,1
2358544,97634,ft,L2,1
2358544,27971,ft,L3,1
2358544,06238,ft,L2,1
2358544,00592,ft,L1,1
2358544,10231,ft,L2,1
2358544,63088,ft,L3,1
2358544,14415,ft,L1,1
8927198,88063,ft,L3,0
8927198,81175,ft,L3,1
3736615,56400,ft,L1,0
3736615,96748,ft,L2,1
3736615,56741,ft,L3,1
3736615,54596,ft,L2,1
3736615,64967,ft,L1,1
3736615,13080,ft,L3,1
3736615,97634,ft,L2,1
3736615,27971,ft,L3,1
3736615,06238,ft,L2,1
3736615,00592,ft,L1,1
3736615,10231,ft,L2,1
3736615,63088,ft,L3,1
3736615,14415,ft,L1,1
6533142,88063,ft,L3,0
6533142,81175,ft,L3,0
0058472,56400,ft,L1,1
0058472,96748,ft,L2,0
0058472,56741,ft,L3,0
0058472,54596,ft,L2,1
0058472,64967,ft,L1,1
0058472,13080,ft,L3,0
0058472,97634,ft,L2,0
0058472,27971,ft,L3,0
0058472,06238,ft,L2,1
0058472,00592,ft,L1,1
0058472,10231,ft,L2,0
0058472,63088,ft,L3,0
0058472,14415,ft,L1,1
9650888,88063,ft,L3,0
9650888,81175,ft,L3,0
9650515,56400,ft,L1,1
9650515,96748,ft,L2,1
9650515,56741,ft,L3,0
9650515,54596,ft,L2,1
9650515,64967,ft,L1,1
9650515,13080,ft,L3,0
9650515,97634,ft,L2,1
9650515,27971,ft,L3,0
9650515,06238,ft,L2,1
9650515,00592,ft,L1,1
9650515,10231,ft,L2,1
9650515,63088,ft,L3,0
9650515,14415,ft,L1,1
2592006,88063,ft,L3,0
2592006,81175,ft,L3,0
0977391,56400,ft,L1,1
0977391,96748,ft,L2,1
0977391,56741,ft,L3,0
0977391,54596,ft,L2,1
0977391,64967,ft,L1,1
0977391,13080,ft,L3,0
0977391,97634,ft,L2,1
0977391,27971,ft,L3,0
0977391,06238,ft,L2,1
0977391,00592,ft,L1,1
0977391,10231,ft,L2,1
0977391,63088,ft,L3,0
0977391,14415,ft,L1,1
4837557,88063,ft,L3,1
4837557,81175,ft,L3,1
2474496,88063,ft,L3,0
2474496,81175,ft,L3,0
8270060,88063,ft,L3,0
8270060,81175,ft,L3,1
4835003,56400,ft,L1,1
4835003,96748,ft,L2,1
4835003,56741,ft,L3,1
4835003,54596,ft,L2,1
4835003,64967,ft,L1,1
4835003,13080,ft,L3,1
4835003,97634,ft,L2,1
4835003,27971,ft,L3,1
4835003,06238,ft,L2,1
4835003,00592,ft,L1,1
4835003,10231,ft,L2,1
4835003,63088,ft,L3,1
4835003,14415,ft,L1,1
0883718,56400,ft,L1,1
0883718,96748,ft,L2,1
0883718,56741,ft,L3,1
0883718,54596,ft,L2,1
0883718,64967,ft,L1,1
0883718,13080,ft,L3,1
0883718,97634,ft,L2,1
0883718,27971,ft,L3,1
0883718,06238,ft,L2,1
0883718,00592,ft,L1,1
0883718,10231,ft,L2,1
0883718,63088,ft,L3,1
0883718,14415,ft,L1,1
9089736,88063,ft,L3,0
9089736,81175,ft,L3,0
3903059,56400,ft,L1,0
3903059,96748,ft,L2,1
3903059,56741,ft,L3,1
3903059,54596,ft,L2,1
3903059,64967,ft,L1,0
3903059,13080,ft,L3,1
3903059,97634,ft,L2,1
3903059,27971,ft,L3,1
3903059,06238,ft,L2,1
3903059,00592,ft,L1,1
3903059,10231,ft,L2,1
3903059,63088,ft,L3,1
3903059,14415,ft,L1,0
0495102,56400,ft,L1,0
0495102,96748,ft,L2,1
0495102,56741,ft,L3,1
0495102,54596,ft,L2,0
0495102,64967,ft,L1,1
0495102,13080,ft,L3,1
0495102,97634,ft,L2,1
0495102,27971,ft,L3,1
0495102,06238,ft,L2,1
0495102,00592,ft,L1,1
0495102,10231,ft,L2,1
0495102,63088,ft,L3,1
0495102,14415,ft,L1,1
0171177,88063,ft,L3,1
0171177,81175,ft,L3,1
5526520,56400,ft,L1,0
5526520,96748,ft,L2,1
5526520,56741,ft,L3,0
5526520,54596,ft,L2,1
5526520,64967,ft,L1,0
5526520,13080,ft,L3,0
5526520,97634,ft,L2,1
5526520,27971,ft,L3,1
5526520,06238,ft,L2,1
5526520,00592,ft,L1,1
5526520,10231,ft,L2,1
5526520,63088,ft,L3,1
5526520,14415,ft,L1,1
5272526,88063,ft,L3,0
5272526,81175,ft,L3,0
8575680,56400,ft,L1,1
8575680,96748,ft,L2,1
8575680,56741,ft,L3,0
8575680,54596,ft,L2,1
8575680,64967,ft,L1,1
8575680,13080,ft,L3,0
8575680,97634,ft,L2,1
8575680,27971,ft,L3,0
8575680,06238,ft,L2,1
8575680,00592,ft,L1,1
8575680,10231,ft,L2,1
8575680,63088,ft,L3,0
8575680,14415,ft,L1,1
6809448,56400,ft,L1,1
6809448,96748,ft,L2,1
6809448,56741,ft,L3,1
6809448,54596,ft,L2,1
6809448,64967,ft,L1,1
6809448,13080,ft,L3,0
6809448,97634,ft,L2,1
6809448,27971,ft,L3,1
6809448,06238,ft,L2,1
6809448,00592,ft,L1,1
6809448,10231,ft,L2,1
6809448,63088,ft,L3,1
6809448,14415,ft,L1,1
9787197,88063,ft,L3,0
9787197,81175,ft,L3,0
9084695,88063,ft,L3,0
9084695,81175,ft,L3,0
7616084,88063,ft,L3,0
7616084,81175,ft,L3,0
2612268,56400,ft,L1,0
2612268,96748,ft,L2,1
2612268,56741,ft,L3,0
2612268,54596,ft,L2,1
2612268,64967,ft,L1,1
2612268,13080,ft,L3,0
2612268,97634,ft,L2,1
2612268,27971,ft,L3,0
2612268,06238,ft,L2,1
2612268,00592,ft,L1,1
2612268,10231,ft,L2,1
2612268,63088,ft,L3,0
2612268,14415,ft,L1,1
3421633,56400,ft,L1,0
3421633,96748,ft,L2,1
3421633,56741,ft,L3,0
3421633,54596,ft,L2,1
3421633,64967,ft,L1,1
3421633,13080,ft,L3,0
3421633,97634,ft,L2,1
3421633,27971,ft,L3,0
3421633,06238,ft,L2,1
3421633,00592,ft,L1,1
3421633,10231,ft,L2,1
3421633,63088,ft,L3,0
3421633,14415,ft,L1,1
6747231,88063,ft,L3,0
6747231,81175,ft,L3,0
5525561,88063,ft,L3,0
5525561,81175,ft,L3,0
7746226,88063,ft,L3,0
7746226,81175,ft,L3,0
4716947,88063,ft,L3,0
4716947,81175,ft,L3,1
7508303,56400,ft,L1,1
7508303,96748,ft,L2,1
7508303,56741,ft,L3,0
7508303,54596,ft,L2,1
7508303,64967,ft,L1,1
7508303,13080,ft,L3,0
7508303,97634,ft,L2,1
7508303,27971,ft,L3,0
7508303,06238,ft,L2,1
7508303,00592,ft,L1,1
7508303,10231,ft,L2,1
7508303,63088,ft,L3,0
7508303,14415,ft,L1,1
2936327,56400,ft,L1,1
2936327,96748,ft,L2,1
2936327,56741,ft,L3,1
2936327,54596,ft,L2,1
2936327,64967,ft,L1,1
2936327,13080,ft,L3,0
2936327,97634,ft,L2,1
2936327,27971,ft,L3,0
2936327,06238,ft,L2,1
2936327,00592,ft,L1,1
2936327,10231,ft,L2,1
2936327,63088,ft,L3,0
2936327,14415,ft,L1,1
7833016,56400,ft,L1,1
7833016,96748,ft,L2,1
7833016,56741,ft,L3,1
7833016,54596,ft,L2,0
7833016,64967,ft,L1,1
